ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
13, 22-01-2022 14:05:00, OFF, Stop3, Company1, Bus37, 5500005555555559
1, 22-01-2022 13:00:00, ON, Stop1, Company1, Bus37, 5500005555555559
3, 22-01-2022 13:00:01, ON, Stop1, Company1, Bus37, 5500005555555559
4, 22-01-2022 13:00:02, ON, Stop1, Company1, Bus37, 5500005555555559
10, 22-01-2022 13:05:00, OFF, Stop1, Company1, Bus37, 5500005555555559
2, 22-01-2022 13:00:00, ON, Stop1, Company1, Bus37, 4444333322221111
12, 22-01-2022 14:01:01, ON, Stop3, Company1, Bus37, 5500005555555559
8, 22-01-2022 13:03:00, ON, Stop3, Company1, Bus37, 5500005555555559
15, 22-01-2022 14:06:00, OFF, Stop1, Company1, Bus37, 4444333322221111
5, 22-01-2022 13:00:02, ON, Stop1, Company1, Bus37, 4444333322221111
7, 22-01-2022 13:02:02, ON, Stop2, Company1, Bus37, 5500005555555559
11, 22-01-2022 13:05:00, OFF, Stop1, Company1, Bus37, 4444333322221111
14, 22-01-2022 14:05:00, ON, Stop3, Company1, Bus37, 4444333322221111
6, 22-01-2022 13:02:00, ON, Stop2, Company1, Bus37, 5500005555555559
9, 22-01-2022 13:03:02, ON, Stop3, Company1, Bus37, 5500005555555559
